n,win,expR,pf,ddR,t,totR,rr,swing_lb,fvg_window,zones,trend_filter,min_gap_atr,max_risk_atr,atr_rank_min,atr_rank_max
390,45.8974358974359,0.11077603292450522,1.1931100818552298,9.882959530387076,1.7179847242793034,43.202652840557036,1.5,3.0,30.0,ny_am,,,,,
373,38.337801608579085,0.10867540712277345,1.166068517473458,15.820393204224935,1.4124319784713617,40.5359268567945,2.0,2.0,6.0,ny_am,,,,,
385,38.18181818181819,0.10395153409403983,1.1584393853156911,15.820393204224935,1.3736014578384845,40.02134062620534,2.0,2.0,20.0,ny_am,,,,,
385,38.18181818181819,0.10395153409403983,1.1584393853156911,15.820393204224935,1.3736014578384845,40.02134062620534,2.0,2.0,12.0,ny_am,,,,,
385,38.18181818181819,0.10395153409403983,1.1584393853156911,15.820393204224935,1.3736014578384845,40.02134062620534,2.0,2.0,30.0,ny_am,,,,,
358,45.530726256983236,0.10298140462250831,1.1786911869957621,16.702600884184186,1.5318443195537845,36.867342854857974,1.5,4.0,12.0,ny_am,,,,,
362,45.30386740331492,0.09706543520786808,1.1677070776404888,16.702600884184186,1.4525204043182853,35.13768754524824,1.5,4.0,30.0,ny_am,,,,,
362,45.30386740331492,0.09706543520786808,1.1677070776404888,16.702600884184186,1.4525204043182853,35.13768754524824,1.5,4.0,20.0,ny_am,,,,,
319,44.20062695924764,0.06871584424746689,1.1163862703747172,19.518723556667716,0.9676617895857397,21.92035431494194,1.5,5.0,6.0,ny_am,,,,,
343,43.440233236151606,0.04892000072955341,1.0816785281187709,23.790266018203393,0.7154990929918112,16.77956025023682,1.5,5.0,12.0,ny_am,,,,,
352,27.27272727272727,0.041915681736453596,1.0541842276326747,30.589593860222884,0.43489987379651607,14.754319971231666,3.0,2.0,6.0,ny_am,,,,,
350,42.857142857142854,0.0342646726447889,1.0566500503922693,24.814264921110357,0.5071896970055005,11.992635425676115,1.5,5.0,20.0,ny_am,,,,,
364,26.923076923076923,0.027884924251577806,1.0358776182998148,34.37527339880114,0.29541008845513744,10.15011242757432,3.0,2.0,30.0,ny_am,,,,,
364,26.923076923076923,0.027884924251577806,1.0358776182998148,34.37527339880114,0.29541008845513744,10.15011242757432,3.0,2.0,20.0,ny_am,,,,,
364,26.923076923076923,0.027884924251577806,1.0358776182998148,34.37527339880114,0.29541008845513744,10.15011242757432,3.0,2.0,12.0,ny_am,,,,,
352,42.61363636363637,0.027842950793424828,1.045821574830819,24.814264921110357,0.4135476127498833,9.80071867928554,1.5,5.0,30.0,ny_am,,,,,
317,35.646687697160885,0.027708457401065055,1.0406146745591576,24.753559062646275,0.33691114653801346,8.783580996137623,2.0,4.0,6.0,ny_am,,,,,
346,35.54913294797688,0.02340916983748758,1.0342017890507418,17.64153395493178,0.2974530691722155,8.099572763770702,2.0,3.0,6.0,ny_am,,,,,
341,35.19061583577713,0.01470081389039866,1.0214254413462744,28.04385880746306,0.186043112323421,5.012977536625943,2.0,4.0,12.0,ny_am,,,,,
345,35.07246376811594,0.010966151382655692,1.0159517683782233,29.08522996585452,0.13970470160610204,3.783322227016214,2.0,4.0,30.0,ny_am,,,,,
345,35.07246376811594,0.010966151382655692,1.0159517683782233,29.08522996585452,0.13970470160610204,3.783322227016214,2.0,4.0,20.0,ny_am,,,,,
305,29.836065573770494,-0.0007060172563443456,0.9990510462818298,20.328170892913846,-0.00757376087390242,-0.21533526318502538,2.5,4.0,6.0,ny_am,,,,,
336,29.464285714285715,-0.015248952000234054,0.9796454504979881,23.64524269015572,-0.1722781385624616,-5.123647872078642,2.5,3.0,6.0,ny_am,,,,,
368,34.23913043478261,-0.01706022048570923,0.9755853518533214,22.548839857672988,-0.2255001859910353,-6.278161138740996,2.0,3.0,12.0,ny_am,,,,,
369,34.146341463414636,-0.01982602613144833,0.9716644850081657,23.581187362293466,-0.2625950212735909,-7.315803642504434,2.0,3.0,30.0,ny_am,,,,,
369,34.146341463414636,-0.01982602613144833,0.9716644850081657,23.581187362293466,-0.2625950212735909,-7.315803642504434,2.0,3.0,20.0,ny_am,,,,,
329,29.17933130699088,-0.0231750638896909,0.96910458739256,22.11847063773058,-0.25999785235753725,-7.6245960197083065,2.5,4.0,12.0,ny_am,,,,,
333,29.129129129129126,-0.025087841829783897,0.9665812275242895,23.159841796122034,-0.2833214841911088,-8.354251329318037,2.5,4.0,30.0,ny_am,,,,,
333,29.129129129129126,-0.025087841829783897,0.9665812275242895,23.159841796122034,-0.2833214841911088,-8.354251329318037,2.5,4.0,20.0,ny_am,,,,,
358,28.212290502793298,-0.06031744146778391,0.9209480847356737,28.699404399412085,-0.71246970286249,-21.59364404546664,2.5,3.0,12.0,ny_am,,,,,
359,28.133704735376046,-0.06303979540175511,0.9174629246270759,29.73175190403257,-0.7463211029971479,-22.631286549230083,2.5,3.0,20.0,ny_am,,,,,
359,28.133704735376046,-0.06303979540175511,0.9174629246270759,29.73175190403257,-0.7463211029971479,-22.631286549230083,2.5,3.0,30.0,ny_am,,,,,
303,32.01320132013201,-0.08289566300806075,0.8848988741777246,35.9460274126924,-1.0121468993829343,-25.11738589144241,2.0,5.0,6.0,ny_am,,,,,
326,31.595092024539877,-0.0959885736173098,0.8676043372767914,40.54952781764838,-1.2198056087624782,-31.29227499924299,2.0,5.0,12.0,ny_am,,,,,
333,31.23123123123123,-0.1068444439153264,0.8533523335345277,41.74369419338548,-1.3768728243580763,-35.57919982380369,2.0,5.0,20.0,ny_am,,,,,
324,23.456790123456788,-0.11218756650058669,0.8621206549536599,38.22927864672138,-1.1736561483161014,-36.348771546190086,3.0,3.0,6.0,ny_am,,,,,
335,31.044776119402982,-0.11274960170207242,0.8457117696827997,42.76319714668962,-1.4595671533156966,-37.77111657019426,2.0,5.0,30.0,ny_am,,,,,
346,22.54335260115607,-0.14976522462305822,0.8182212934084722,53.6992748201094,-1.6417318475998637,-51.81876771957815,3.0,3.0,12.0,ny_am,,,,,
347,22.478386167146976,-0.15232394877043684,0.8152537540465215,54.731622324729855,-1.6739514588978097,-52.856410223341584,3.0,3.0,20.0,ny_am,,,,,
347,22.478386167146976,-0.15232394877043684,0.8152537540465215,54.731622324729855,-1.6739514588978097,-52.856410223341584,3.0,3.0,30.0,ny_am,,,,,
293,22.18430034129693,-0.162960759280714,0.8028551871251414,48.67690009266174,-1.6529832673639793,-47.7475024692492,3.0,4.0,6.0,ny_am,,,,,
320,21.875,-0.17462547232302988,0.7893407645256348,56.81327742141009,-1.861434687759923,-55.88015114336956,3.0,4.0,30.0,ny_am,,,,,
320,21.875,-0.17462547232302988,0.7893407645256348,56.81327742141009,-1.861434687759923,-55.88015114336956,3.0,4.0,20.0,ny_am,,,,,
316,21.835443037974684,-0.1761091640308855,0.7876452195339679,56.579893457172346,-1.866548157038204,-55.65049583375982,3.0,4.0,12.0,ny_am,,,,,
293,24.914675767918087,-0.17626658829709996,0.7787971816920757,56.79340172823387,-1.9600445927867796,-51.646110371050284,2.5,5.0,6.0,ny_am,,,,,
315,24.444444444444443,-0.19319138757978502,0.7591375548140508,61.30366384333885,-2.2417734946054484,-60.85528708763228,2.5,5.0,12.0,ny_am,,,,,
322,24.22360248447205,-0.20075221090743164,0.7503375363808424,65.07741484422526,-2.363011237780253,-64.64221191219299,2.5,5.0,20.0,ny_am,,,,,
324,24.074074074074073,-0.2062781748721715,0.7440387532718724,67.26933159061583,-2.4405375384845716,-66.83412865858357,2.5,5.0,30.0,ny_am,,,,,
281,19.572953736654807,-0.26849108084041745,0.685521409101758,74.42152503606816,-2.7940690819762577,-75.4459937161573,3.0,5.0,6.0,ny_am,,,,,
302,19.205298013245034,-0.28360513344106214,0.6694188961404399,84.62428161911168,-3.0818649164028247,-85.64875029920077,3.0,5.0,12.0,ny_am,,,,,
309,19.093851132686083,-0.28781771884712454,0.6648339372588715,87.89803261999809,-3.1713653524452896,-88.93567512376148,3.0,5.0,20.0,ny_am,,,,,
311,18.971061093247588,-0.29301476485579436,0.6593870485877121,90.08994936638867,-3.2468502444938747,-91.12759187015205,3.0,5.0,30.0,ny_am,,,,,
399,50.125313283208015,0.2180972390696911,1.412033581895627,9.75816033995136,3.4087544019708487,87.02079838880675,1.5,,,ny_am,,,,,
399,50.125313283208015,0.2180972390696911,1.412033581895627,9.75816033995136,3.4087544019708487,87.02079838880675,1.5,,,london+ny_am,,,,,
378,33.06878306878307,0.1121588143522614,1.15762921280973,19.796648122173465,1.3022726343314865,42.39603182515481,2.5,,,ny_am,,,,,
378,33.06878306878307,0.1121588143522614,1.15762921280973,19.796648122173465,1.3022726343314865,42.39603182515481,2.5,,,london+ny_am,,,,,
385,38.18181818181819,0.10395153409403983,1.1584393853156911,15.820393204224935,1.3736014578384845,40.02134062620534,2.0,,,ny_am,,,,,
385,38.18181818181819,0.10395153409403983,1.1584393853156911,15.820393204224935,1.3736014578384845,40.02134062620534,2.0,,,london+ny_am,,,,,
912,45.94298245614035,0.10099086417067735,1.1732055797195269,20.635299437698087,2.381462389323564,92.10366812365774,1.5,,,ny_am+ny_pm,,,,,
912,45.94298245614035,0.10099086417067735,1.1732055797195269,20.635299437698087,2.381462389323564,92.10366812365774,1.5,,,london+ny_am+ny_pm,,,,,
895,35.53072625698324,0.011363255225469913,1.0163458145552657,32.78543977585805,0.23140287556205813,10.170113426795572,2.0,,,ny_am+ny_pm,,,,,
895,35.53072625698324,0.011363255225469913,1.0163458145552657,32.78543977585805,0.23140287556205813,10.170113426795572,2.0,,,london+ny_am+ny_pm,,,,,
515,42.71844660194174,0.01083071065065956,1.0173461762517608,21.670620437494748,0.1925477204090269,5.577815985089673,1.5,,,ny_pm,,,,,
889,29.92125984251969,-0.012200599626224221,0.9838815111282718,42.30585441127449,-0.2223974390073839,-10.846333067713333,2.5,,,ny_am+ny_pm,,,,,
889,29.92125984251969,-0.012200599626224221,0.9838815111282718,42.30585441127449,-0.2223974390073839,-10.846333067713333,2.5,,,london+ny_am+ny_pm,,,,,
512,33.59375,-0.0563599237288498,0.9221332241218995,46.30313336194817,-0.8763924561093337,-28.856280949171097,2.0,,,ny_pm,,,,,
512,27.5390625,-0.10593800267731993,0.8660568756989279,66.83538937023175,-1.4974708077654948,-54.2402573707878,2.5,,,ny_pm,,,,,
0,,,,,,,1.5,,,london,,,,,
0,,,,,,,2.0,,,london,,,,,
0,,,,,,,2.5,,,london,,,,,
392,50.255102040816325,0.22024395514115921,1.4163978587363466,10.667615760903104,3.4097540540094835,86.3356304153344,1.5,,,ny_am,False,0.0,3.0,,
399,50.125313283208015,0.2180972390696911,1.412033581895627,9.75816033995136,3.4087544019708487,87.02079838880675,1.5,,,ny_am,False,0.0,0.0,,
397,50.12594458438288,0.21799766925481556,1.411774872244937,9.758160339951374,3.3984161363100323,86.54507469416178,1.5,,,ny_am,False,0.0,5.0,,
357,49.85994397759104,0.20797961319530217,1.3887514222522321,15.369529928261713,3.0685979250335342,74.24872191072288,1.5,,,ny_am,False,0.0,2.0,,
49,48.97959183673469,0.20368995330049697,1.3855732893770567,6.144837127891796,1.1157354898581007,9.980807711724351,1.5,,,ny_am,False,1.0,0.0,,
347,35.158501440922194,0.18256470111379325,1.2634687509789104,15.705319570581864,1.998223550125168,63.34995128648626,2.5,,,ny_am,False,0.0,2.0,,
161,34.78260869565217,0.17173926501049294,1.2472324846250202,16.374613236251335,1.2824192602624453,27.650021666689362,2.5,,,ny_am,True,0.0,2.0,,
229,47.59825327510917,0.1574620933964207,1.2847462802973628,10.250889468420084,1.8680995226292856,36.05881938778034,1.5,,,ny_am,True,0.0,0.0,,
227,47.57709251101321,0.15677519690117583,1.2833245827382476,10.250889468420084,1.8516664952119861,35.587969696566915,1.5,,,ny_am,True,0.0,5.0,,
352,39.77272727272727,0.14880242495424642,1.231552968556922,16.489021103409982,1.8630256536862115,52.37845358389474,2.0,,,ny_am,False,0.0,2.0,,
32,46.875,0.1472596218716568,1.266437825745544,5.20917400086859,0.6483841307903212,4.712307899893018,1.5,,,ny_am,False,1.0,3.0,,
208,47.11538461538461,0.14477027966259007,1.259408353290602,10.054892204875665,1.637954222721018,30.112218169818732,1.5,,,ny_am,False,0.25,2.0,,
45,46.666666666666664,0.1447122531957358,1.261917135102177,6.144837127891796,0.7604129849519076,6.512051393808111,1.5,,,ny_am,False,1.0,5.0,,
266,46.99248120300752,0.14412953794933456,1.258590423119459,9.45170666665706,1.847374183448717,38.338457094522994,1.5,,,ny_am,False,0.25,0.0,,
219,47.03196347031963,0.14186636543465259,1.2533713345396345,9.091423270327933,1.6458840493913243,31.068734030188914,1.5,,,ny_am,True,0.0,3.0,,
375,33.86666666666667,0.13929454408031175,1.1978177621303863,16.28158216887151,1.6007885113162,52.235454030116905,2.5,,,ny_am,False,0.0,3.0,,
101,46.53465346534654,0.1360788373387971,1.2437316058145513,9.082558563034162,1.075424098567883,13.743962571218507,1.5,,,ny_am,False,0.5,2.0,,
264,46.590909090909086,0.13391426116951027,1.2384711876348216,9.45170666665706,1.7109253618292963,35.35336494875071,1.5,,,ny_am,False,0.25,5.0,,
209,33.49282296650718,0.13207606523550955,1.187971970068987,11.739644614186698,1.13711102813788,27.603897634221493,2.5,,,ny_am,True,0.0,5.0,,
169,46.74556213017752,0.13041505030321415,1.2301963811827943,11.710220484309826,1.3257976673728669,22.040143501243193,1.5,,,ny_am,True,0.0,2.0,,
254,46.45669291338583,0.1296346810959278,1.2299603712401432,9.943388398357374,1.6239911168416425,32.92720899836566,1.5,,,ny_am,False,0.25,3.0,,
382,39.00523560209424,0.12789925825518567,1.197245675720489,13.836312767406682,1.6759660425859901,48.85751665348092,2.0,,,ny_am,False,0.0,3.0,,
210,33.33333333333333,0.12655939501368732,1.1797261964882078,11.739644614186698,1.0935964756285335,26.577472952874338,2.5,,,ny_am,True,0.0,0.0,,
204,33.33333333333333,0.12536834249672524,1.1777730423489157,13.051259131303162,1.0673078468443364,25.57514186933195,2.5,,,ny_am,True,0.0,3.0,,
59,45.76271186440678,0.11669327895855347,1.206056696554663,6.964615714547618,0.7031095149466237,6.884903458554655,1.5,,,ny_am,True,0.5,2.0,,
378,33.06878306878307,0.1121588143522614,1.15762921280973,19.796648122173465,1.3022726343314865,42.39603182515481,2.5,,,ny_am,False,0.0,0.0,,
378,33.06878306878307,0.1121463279283378,1.1576089021792833,19.796648122173465,1.3021211090938507,42.391311956911686,2.5,,,ny_am,False,0.0,5.0,,
154,45.45454545454545,0.11131526352833207,1.196117970328083,7.068283635976803,1.0910523982039317,17.14255058336314,1.5,,,ny_am,False,0.5,0.0,,
384,38.28125,0.10688220205507382,1.1631435433046533,15.820393204224942,1.4097171996529456,41.042765589148345,2.0,,,ny_am,False,0.0,5.0,,
385,38.18181818181819,0.10395153409403983,1.1584393853156911,15.820393204224935,1.3736014578384845,40.02134062620534,2.0,,,ny_am,False,0.0,0.0,,
101,44.554455445544555,0.09029377573239124,1.1569221393272482,7.486412099676947,0.717426299743462,9.119671348971515,1.5,,,ny_am,True,0.5,0.0,,
139,44.60431654676259,0.08881119825135803,1.1538660978579596,7.673084614872066,0.8278170167381754,12.344756556938766,1.5,,,ny_am,False,0.5,3.0,,
151,44.370860927152314,0.08384452062049765,1.144857164001444,7.673084614872066,0.8156013540215067,12.660522613695145,1.5,,,ny_am,False,0.5,5.0,,
165,37.57575757575757,0.08337397036799599,1.1254263803664055,20.244463491687597,0.7212861986012673,13.756705110719338,2.0,,,ny_am,True,0.0,2.0,,
34,44.11764705882353,0.08099490299536152,1.139966591521261,6.210932654097762,0.37020960593940416,2.753826701842292,1.5,,,ny_am,True,1.0,0.0,,
86,44.18604651162791,0.07980309885739172,1.137554032184189,6.986861127913369,0.5848074137821939,6.8630665017356876,1.5,,,ny_am,True,0.5,3.0,,
98,43.87755102040816,0.07297842687614677,1.1252750458550933,7.567638151633961,0.5719736738529092,7.151885833862384,1.5,,,ny_am,True,0.5,5.0,,
217,36.86635944700461,0.06769240096030993,1.1015152059369955,15.019758189609565,0.6762938781066734,14.689251008387256,2.0,,,ny_am,True,0.0,0.0,,
215,36.74418604651163,0.06380651775429688,1.0954831201767523,13.9933335082624,0.6349196258752211,13.718401317173829,2.0,,,ny_am,True,0.0,5.0,,
210,36.666666666666664,0.06042688358230615,1.090198069123789,17.115140224246144,0.5942963658442412,12.689645552284292,2.0,,,ny_am,True,0.0,3.0,,
165,43.63636363636363,0.05971849023596366,1.1008848319884894,13.3870528077174,0.6061081551423363,9.853550888934004,1.5,,,ny_am,True,0.25,0.0,,
163,43.558282208588956,0.05756258403509562,1.0970843360202571,12.360628126370225,0.5807240835057864,9.382701197720586,1.5,,,ny_am,True,0.25,5.0,,
55,30.909090909090907,0.04676104359910152,1.0646186288780568,11.03283462665001,0.2100290927326761,2.5718573979505837,2.5,,,ny_am,True,0.5,2.0,,
203,31.03448275862069,0.04524558792194238,1.062152676057491,14.683257254529705,0.39182069574171413,9.184854348154303,2.5,,,ny_am,False,0.25,2.0,,
45,35.55555555555556,0.04096615190834223,1.0613219747962,8.328603047534417,0.18728703771523053,1.8434768358754003,2.0,,,ny_am,False,1.0,0.0,,
152,42.76315789473684,0.03609999355562668,1.0599334175794157,14.343583849634625,0.3521867165326436,5.487199020455256,1.5,,,ny_am,True,0.25,3.0,,
98,30.612244897959183,0.03553814003825716,1.0488508476064866,12.89207064614817,0.21444639633178825,3.4827377237492017,2.5,,,ny_am,False,0.5,2.0,,
99,35.35353535353536,0.028480254040732424,1.042149120863632,14.892070646148216,0.19416179353691002,2.81954515003251,2.0,,,ny_am,False,0.5,2.0,,
