signal,dev,vs_random_pct,h1,h2,HOLDOUT,stable,PASS
mom_12m,0.36783370042864383,100.0,0.07245610178537056,1.0255697940625212,0.4022534462405503,True,True
mom_12m_skip1m,0.3354298278593384,100.0,-0.03109029187011316,1.1211314250932343,0.28461240626552786,False,False
turn_of_month,-0.2897291003178303,0.0,-0.3513853381666067,-0.22208064332722516,0.22438809969124973,False,False
mom_3m,0.038464539567719724,100.0,-0.15942733327396502,0.24252555582375068,0.07308879781443572,False,False
mom_6m,0.17116914140448208,100.0,-0.03830325332438829,0.47308355079947517,-0.06116855905041997,False,False
obv_trend,-0.1693393938934168,100.0,-0.6140201983494945,0.29621404264549844,-0.12727080445584082,False,False
dispersion,-0.1491775346728928,0.0,-0.3609455631561262,0.2439764354287261,-0.1405301883856683,False,False
risk_on_off,-0.08178648767913235,0.0,0.0007656300790426447,-0.27120527737519934,-0.16505512152161436,False,False
trend_ma,0.02182041313519481,100.0,-0.08238636080018377,0.16038150388859976,-0.1745537164509087,False,False
donchian,-0.13197660343924722,100.0,-0.09458933185913763,-0.16582979127120845,-0.27967074767791456,False,False
dd_recovery,-0.17524816062140003,100.0,-0.3129730148371309,0.06937033793440561,-0.3838900079008665,False,False
rev_1m,-0.46245319184565237,100.0,-0.2821919469999868,-0.6803166521473205,-0.40744822916032036,False,False
tsmom,0.013940140829008605,100.0,-0.0405458786741108,0.11480114245056251,-0.412085510150665,False,False
rev_1w,-0.27057988867693133,100.0,0.1540409336969852,-0.7991093293470259,-0.4154943427496334,False,False
vol_surge,-1.571046016598428,50.0,-1.802220431909943,-1.3504706861381848,-0.5639872636224712,False,False
lowvol,-0.38901149758211384,100.0,-0.41514648107422014,-0.33511748225748933,-0.5773157826215576,False,False
day_of_week,-0.6241023258501417,0.0,-0.5142043509113828,-0.8354567293324001,-0.6726318624836417,False,False
vol_breakout,-1.2691750278513707,85.0,-1.017724325233403,-1.4206177568004092,-0.8554191513657797,False,False
