ts,side,outcome,R
2022-08-25 10:55:00-04:00,short,target,1.990712534363968
2022-08-29 10:30:00-04:00,short,target,1.9886270585029286
2022-08-30 11:00:00-04:00,long,target,1.9792013311165406
2022-08-31 10:00:00-04:00,short,target,1.993869844539408
2022-09-01 10:25:00-04:00,long,stop,-1.0446770487606662
2022-09-02 10:55:00-04:00,short,target,1.9946027633852634
2022-09-05 09:40:00-04:00,long,stop,-1.0264310527106717
2022-09-06 10:30:00-04:00,long,target,1.9911253106144438
2022-09-08 09:45:00-04:00,long,target,1.9960417986067758
2022-09-14 09:45:00-04:00,long,stop,-1.0333206397556496
2022-09-15 09:30:00-04:00,short,timeout,
2022-09-16 10:45:00-04:00,short,target,1.9932669000809784
2022-09-27 09:50:00-04:00,short,target,1.9925324093436725
2022-10-04 10:25:00-04:00,short,stop,-1.0741211351091036
2022-10-07 10:45:00-04:00,long,stop,-1.0767880649373958
2022-10-10 10:20:00-04:00,long,stop,-1.0550660792934228
2022-10-11 10:15:00-04:00,long,target,1.9911410347274576
2022-10-12 10:10:00-04:00,short,stop,-1.0350056008954427
2022-10-13 09:50:00-04:00,long,target,1.99701706240309
2022-10-14 10:55:00-04:00,long,target,1.9933949801851152
2022-10-17 10:25:00-04:00,short,target,1.99140539053935
2022-10-18 09:55:00-04:00,short,target,1.996147326244473
2022-10-19 09:45:00-04:00,short,stop,-1.051181562937203
2022-10-21 10:25:00-04:00,short,stop,-1.0255474452551014
2022-10-24 10:35:00-04:00,long,target,1.995896930904384
2022-10-25 10:50:00-04:00,long,target,1.9837662337672899
2022-10-27 10:05:00-04:00,long,target,1.9930050363740066
2022-10-31 10:45:00-04:00,long,target,1.9858597285075876
2022-11-01 09:50:00-04:00,short,target,1.996964177292083
2022-11-03 10:15:00-04:00,long,target,1.9932120553898125
2022-11-04 09:40:00-04:00,short,target,1.9952244508119346
2022-11-07 10:25:00-05:00,short,stop,-1.0897435897389856
2022-11-09 10:10:00-05:00,long,stop,-1.0378051414984275
2022-11-10 10:50:00-05:00,long,target,1.9937091092100225
2022-11-11 09:35:00-05:00,short,stop,-1.0425459496245613
2022-11-14 10:05:00-05:00,long,target,1.9930709534369992
2022-11-15 09:50:00-05:00,short,stop,-1.0351603311091548
2022-11-17 09:45:00-05:00,long,target,1.9930786267997485
2022-11-18 10:05:00-05:00,short,timeout,
2022-11-21 09:50:00-05:00,long,stop,-1.0493374682816654
2022-11-22 10:05:00-05:00,long,target,1.9938680402258067
2022-11-29 10:55:00-05:00,short,target,1.963976945250143
2022-12-01 10:10:00-05:00,short,target,1.9911070005694682
2022-12-02 10:15:00-05:00,long,timeout,
